,ids,bday,enrolldate,expgradate,Rank,Major,Gender,Athlete,Height,Weight,Smoking,Sprint,MileMinDur,English,Reading,Math,Writing,State,LiveOnCampus,HowCommute,CommuteTime,SleepTime,StudyTime
0,43783,3/22/1995,,,Unknown,Unknown,Male,0,72.35,181.03156914893617,0.0,7.978,,88.24,81.5,60.02,81.44,In state,1.0,,,7.0,1.0
3,22820,12/1/1994,,,Unknown,business administration,Female,0,68.03176470588237,198.34,3.0,8.473,0:12:44,74.06,88.68,55.89,73.16,In state,1.0,,,2.0,6.0
5,28980,9/17/1994,,,Unknown,astrophysics,Male,1,68.45,171.61,0.0,4.65,0:07:24,70.1,82.0708,61.4,77.48,In state,1.0,,,8.0,3.0
7,40274,5/3/1994,,,Unknown,American History,Male,1,71.91,222.87,0.0,,0:05:40,82.78755501222494,67.31,58.64,65.89,In state,0.0,,,8.0,3.0
8,40390,4/30/1994,,,Unknown,Africana studies,Female,1,68.84,154.7,0.0,6.279,0:06:51,75.65,76.54,51.14,75.94,In state,0.0,3.0,26.0,,3.0
9,28942,9/17/1993,,,Unknown,Unknown,Female,1,66.69,180.57,0.0,6.076,0:06:37,68.27,93.88,55.2,78.18,Out of state,,1.0,13.0,2.0,15.0
10,29045,9/17/1993,,,Unknown,French,Male,0,70.12,164.59,0.0,8.498,0:09:22,86.0,91.34,64.41,71.02,Out of state,0.0,3.0,20.0,1.0,6.0
11,35676,6/27/1993,,,Unknown,history,Female,1,66.91,177.89,3.0,,0:06:36,79.94,76.74,62.53,84.78,In state,1.0,,,4.0,0.0
13,39796,5/8/1993,,,Unknown,Unknown,Female,0,72.35,230.27,2.0,7.312,0:09:05,88.97,86.53,52.48,81.21,Out of state,0.0,3.0,38.0,4.0,2.0
15,43344,3/26/1993,,,Unknown,Fine Arts (Painting),Male,0,68.03176470588237,132.69,1.0,7.443,0:08:19,70.42,85.29,57.95,79.22,In state,1.0,,,9.0,
18,44116,3/16/1992,,,Unknown,Exorcise Science,Female,0,69.25,183.68,3.0,,0:08:14,82.99,74.41,61.4,81.12,In state,1.0,,,5.0,15.0
20,26154,10/22/1991,,,Unknown,mathematics,Female,0,58.8,128.73,0.0,6.737,0:08:17,74.88,79.61,51.3,79.64,In state,0.0,1.0,21.0,2.0,7.0
21,41291,4/21/1991,,,Unknown,Unknown,Male,1,71.67,205.62,0.0,4.89,0:06:34,84.67,79.64,60.85,76.77,Out of state,0.0,3.0,24.0,9.0,6.0
27,26582,,,,Unknown,Journalism,Male,1,73.71,197.09,0.0,4.749,0:05:19,85.67,67.62,53.06,77.68,,,,,3.0,12.0
28,46919,,,,Unknown,Unknown,Female,1,72.26,166.04,0.0,5.381,,82.56,77.19,60.73,83.54,In state,0.0,3.0,21.0,3.0,6.0
29,20230,1/2/1996,4-Aug-2014,11-May-2020,Freshman,pre-pharma,Male,1,80.11,181.03156914893617,0.0,5.203,0:07:34,81.6,75.6,65.36,76.07,In state,1.0,,,8.0,3.0
31,21939,12/12/1995,4-Aug-2014,11-May-2020,Freshman,Unknown,Male,1,66.09,181.03156914893617,0.0,5.326,0:07:28,87.7,81.1,61.61,79.52168316831683,In state,0.0,3.0,39.0,6.0,5.0
32,23017,11/29/1995,4-Aug-2014,11-May-2020,Freshman,Unknown,Unkown,0,71.72,224.57,0.0,7.638,0:05:55,76.63,84.19,65.25,72.61,In state,0.0,2.0,8.0,8.0,4.0
35,24985,11/5/1995,4-Aug-2014,13-May-2019,Freshman,Biology,Female,0,67.27,181.03156914893617,1.0,7.025,0:12:17,82.78755501222494,77.65,56.04,79.52168316831683,In state,1.0,,,8.0,11.0
37,25701,10/27/1995,4-Aug-2014,13-May-2019,Freshman,Chemistry,Female,0,62.36,163.99,0.0,6.136,0:07:28,83.97,85.85,57.74,83.65,In state,1.0,,,6.0,11.0
39,29142,9/15/1995,4-Aug-2014,11-May-2020,Freshman,Soc,Female,0,68.67,181.03156914893617,0.0,6.572,0:08:19,89.48,78.0,59.24,81.95,Out of state,1.0,,,4.0,0.0
41,30164,9/3/1995,4-Aug-2014,11-May-2020,Freshman,Unknown,Male,0,69.58,183.92,3.0,6.838,0:05:37,71.07,86.6,63.45,75.72,In state,0.0,3.0,37.0,7.0,5.0
43,31227,8/20/1995,4-Aug-2014,11-May-2020,Freshman,art historyy,Female,0,68.38,149.67,2.0,7.494,0:11:22,82.28,81.25,61.78,78.66,In state,1.0,,,10.0,5.0
44,31862,8/14/1995,4-Aug-2014,13-May-2019,Freshman,Unknown,Male,1,73.25,181.03156914893617,3.0,5.625,0:08:08,75.44,86.14,59.64,76.88,In state,1.0,,,3.0,5.0
46,33055,7/30/1995,4-Aug-2014,13-May-2019,Freshman,Unknown,Male,1,69.78,181.03156914893617,0.0,4.673,,82.78755501222494,74.07,57.48,73.15,In state,1.0,,,5.0,5.0
48,34417,7/12/1995,4-Aug-2014,13-May-2019,Freshman,Unknown,Female,1,67.54,181.03156914893617,0.0,5.138,0:05:50,80.95,73.22,61.0,81.69,In state,0.0,3.0,28.0,7.0,
51,35599,6/28/1995,4-Aug-2014,11-May-2020,Freshman,Unknown,Male,0,67.29,218.97,3.0,7.323,0:09:21,74.07,73.45,63.54,79.52168316831683,In state,1.0,,,5.0,3.0
53,38134,5/29/1995,4-Aug-2014,13-May-2019,Freshman,agricultural studies,Male,1,64.9,194.61,0.0,4.873,0:08:19,84.95,81.01,62.08,71.21,In state,1.0,,,6.0,5.0
55,38775,5/21/1995,4-Aug-2014,13-May-2019,Freshman,Finance,Male,1,70.58,152.7,0.0,,0:06:01,79.64,68.83,47.62,77.11,In state,1.0,,,5.0,5.0
57,39006,5/17/1995,4-Aug-2014,13-May-2019,Freshman,Theare,Female,1,67.56,151.53,0.0,6.663,0:08:28,89.49,86.13,65.3,84.68,In state,,,,4.0,10.0
59,39542,5/11/1995,4-Aug-2014,11-May-2020,Freshman,Engineering,Female,0,73.06,213.32,0.0,7.93,0:13:14,75.38,76.45,63.7,76.69,In state,1.0,,,,
62,40619,4/29/1995,4-Aug-2014,11-May-2020,Freshman,media literacy,Male,0,65.7,267.88,1.0,5.537,0:07:03,82.24,93.34,63.28,79.52168316831683,In state,1.0,,,4.0,8.0
64,41254,4/20/1995,4-Aug-2014,11-May-2020,Freshman,ancient studies,Female,0,56.54,129.98,0.0,7.171,0:08:10,85.53,76.35,55.19,84.97,Out of state,1.0,,,4.0,15.0
67,42850,4/2/1995,4-Aug-2014,13-May-2019,Freshman,Higher Ed,Male,0,62.84,115.98,2.0,7.817,,60.96,69.87,58.97,71.56,In state,1.0,,,1.0,4.0
68,42769,4/1/1995,4-Aug-2014,13-May-2019,Freshman,Psych,Female,0,60.15,141.98,1.0,,0:08:19,75.07,72.17,49.4,75.89,In state,1.0,,,8.0,2.0
69,43221,3/26/1995,4-Aug-2014,11-May-2020,Freshman,Unknown,Female,1,66.17,181.03156914893617,0.0,,0:05:16,76.23,79.79,64.83,83.58,In state,1.0,,,5.0,4.0
72,44517,3/11/1995,4-Aug-2014,11-May-2020,Freshman,Environmental Science,Female,1,66.07,137.0,0.0,6.826,0:07:29,69.81,70.58,35.32,70.73,In state,1.0,,,5.0,
73,46221,2/20/1995,4-Aug-2014,11-May-2020,Freshman,liberal Studies,Male,1,66.29,153.8,0.0,4.681,0:06:54,82.49,82.01,62.99,75.64,In state,1.0,,,3.0,6.0
75,47887,1/28/1995,4-Aug-2014,11-May-2020,Freshman,photograPhy,Female,1,68.03176470588237,151.97,0.0,5.527,0:06:23,86.59,79.22,57.58,70.89,In state,1.0,,,4.0,3.0
78,49326,1/14/1995,4-Aug-2014,13-May-2019,Freshman,Unknown,Male,0,72.85,194.74,0.0,7.812,0:09:09,69.48,79.78,54.69,69.38,In state,1.0,,,5.0,6.0
79,49155,1/13/1995,4-Aug-2014,11-May-2020,Freshman,English,Female,0,62.2,186.84,0.0,6.735,,77.17,55.11,40.38,80.62,In state,1.0,,,8.0,3.0
85,23767,11/20/1994,4-Aug-2014,11-May-2020,Freshman,French,Male,1,66.82,166.55,0.0,5.654,0:06:13,77.42,79.14,60.06,76.25,In state,,,,4.0,11.0
86,23937,11/17/1994,4-Aug-2014,13-May-2019,Freshman,Theatre,Female,0,62.59,139.85,2.0,8.865,0:10:19,83.79,87.48,57.57,81.66,In state,,,,4.0,8.0
87,24153,11/15/1994,4-Aug-2014,13-May-2019,Freshman,Education - Science,Female,0,62.12,106.48,2.0,8.48,0:12:33,81.0,70.87,48.06,88.89,Out of state,,3.0,23.0,7.0,4.0
88,24202,11/14/1994,4-Aug-2014,13-May-2019,Freshman,Unknown,Female,0,57.4,164.53,3.0,6.839,,79.0,78.47,59.89,79.02,Out of state,1.0,,,8.0,4.0
96,49947,9/12/1994,4-Aug-2014,13-May-2019,Freshman,marketting,Female,1,68.32,160.54,0.0,5.503,0:06:48,71.12,56.53,55.43,73.56,In state,1.0,,,7.0,9.0
100,32304,8/7/1994,4-Aug-2014,11-May-2020,Freshman,Aerospace engineering,Female,1,67.24,157.19,0.0,5.404,0:07:28,82.77,73.27,55.81,79.15,In state,1.0,,,,2.0
103,34800,7/7/1994,4-Aug-2014,11-May-2020,Freshman,Math and computer science,Female,1,68.42,168.86,2.0,,0:07:24,74.74,73.12,54.49,78.87,Out of state,1.0,,,,3.0
104,34919,7/7/1994,4-Aug-2014,11-May-2020,Freshman,biologie,Male,0,73.35,181.03156914893617,1.0,,0:08:40,59.83,74.71,55.54,74.97,In state,1.0,,,6.0,7.0
107,38186,5/29/1994,4-Aug-2014,11-May-2020,Freshman,Art,Male,0,69.62,181.03156914893617,0.0,7.976,0:09:02,74.88,78.19,61.91,85.39,In state,0.0,3.0,33.0,4.0,7.0
108,38365,5/27/1994,4-Aug-2014,11-May-2020,Freshman,philosophy,Male,1,66.41,175.2,0.0,5.808,0:07:36,77.09,79.08,60.93,76.27,Out of state,1.0,,,10.0,5.0
113,43402,3/25/1994,4-Aug-2014,11-May-2020,Freshman,Education - K-12,Female,0,65.81,171.38,0.0,9.247,0:10:38,82.11,77.55,60.62,70.67,,1.0,,,4.0,5.0
114,43610,3/23/1994,4-Aug-2014,11-May-2020,Freshman,Studio art,Female,0,69.7,216.06,1.0,8.478,0:09:45,79.61,78.38,45.79,77.91,In state,1.0,,,3.0,6.0
117,45104,3/5/1994,4-Aug-2014,11-May-2020,Freshman,Unknown,Male,0,65.29,167.51,0.0,7.617,0:07:44,80.64,82.78,60.13,86.08,Out of state,1.0,,,6.0,1.0
120,45559,2/28/1994,4-Aug-2014,11-May-2020,Freshman,Spanish,Male,0,67.32,216.58,1.0,6.451,0:05:05,76.55,74.41,64.2,71.37,In state,0.0,3.0,30.0,7.0,4.0
121,45550,2/26/1994,4-Aug-2014,13-May-2019,Freshman,businness,Female,1,70.41,181.03156914893617,0.0,5.91,0:06:40,84.6,67.82,62.77,82.73,In state,0.0,3.0,32.0,5.0,4.0
123,46109,2/21/1994,4-Aug-2014,11-May-2020,Freshman,Applied Mathematics,Male,0,61.16,132.78,0.0,,0:07:40,90.8,77.92,65.46,75.46,In state,1.0,,,12.0,3.0
125,46968,2/10/1994,4-Aug-2014,11-May-2020,Freshman,french,Female,1,69.55,160.06,0.0,5.959,0:07:30,88.85,78.56,54.49,85.91,In state,,,,7.0,5.0
128,49838,1/8/1994,4-Aug-2014,13-May-2019,Freshman,Unknown,Male,1,71.56,181.03156914893617,0.0,5.651,0:06:33,68.97,78.16,60.06,71.87,In state,1.0,,,10.0,7.0
130,24267,11/13/1993,4-Aug-2014,13-May-2019,Freshman,Unknown,Female,0,57.01,113.66,0.0,6.822,0:11:05,86.13,84.98,59.08,81.71,Out of state,1.0,,,4.0,17.0
131,25577,10/28/1993,4-Aug-2014,11-May-2020,Freshman,psychology,Female,0,67.18,178.16,2.0,8.138,0:11:18,91.36,77.64,59.33,89.69,In state,1.0,,,7.0,4.0
132,25893,10/25/1993,4-Aug-2014,11-May-2020,Freshman,Unknown,Male,1,70.33,189.23,0.0,5.798,0:07:02,78.84,71.03,60.19,74.68,,0.0,3.0,31.0,5.0,
135,27765,10/1/1993,4-Aug-2014,13-May-2019,Freshman,history,Female,1,67.71,196.48,0.0,5.978,0:06:54,70.26,69.19,64.17,66.76,Out of state,1.0,,,,11.0
136,30426,8/31/1993,4-Aug-2014,13-May-2019,Freshman,Unknown,Male,0,74.13,157.94,0.0,8.044,0:08:10,80.01,82.0708,59.68,76.8,In state,1.0,,,3.0,
137,31807,8/14/1993,4-Aug-2014,13-May-2019,Freshman,nursing,Male,0,78.2,291.99,0.0,7.177,0:06:10,82.78755501222494,73.72,58.64,77.89,Out of state,1.0,,,1.0,3.0
140,32776,8/2/1993,4-Aug-2014,11-May-2020,Freshman,english,Female,0,66.04,221.5,0.0,8.057,0:09:47,89.33,89.86,59.7,84.88,In state,,3.0,39.0,,12.0
142,34705,7/10/1993,4-Aug-2014,13-May-2019,Freshman,Unknown,Male,0,74.58,269.38,0.0,6.85,0:06:27,82.95,63.56,57.54,75.98,In state,1.0,,,1.0,7.0
144,36109,6/22/1993,4-Aug-2014,13-May-2019,Freshman,Unknown,Female,1,69.66,168.23,0.0,5.162,,82.92,81.07,64.33,81.49,Out of state,1.0,,,5.0,4.0
145,36524,6/18/1993,4-Aug-2014,11-May-2020,Freshman,Unknown,Male,1,74.27,167.12,2.0,5.707,0:07:34,75.05,71.04,54.73,72.09,In state,1.0,,,5.0,2.0
146,38091,5/29/1993,4-Aug-2014,13-May-2019,Freshman,Unknown,Male,1,78.68,238.64,2.0,5.768,0:08:34,67.03,68.43,64.06,68.87,In state,1.0,,,5.0,8.0
147,40408,5/2/1993,4-Aug-2014,13-May-2019,Freshman,math,Male,0,73.9,181.27,0.0,,0:08:35,75.66,81.97,60.76,75.2,In state,1.0,,,8.0,8.0
150,43142,3/30/1993,4-Aug-2014,11-May-2020,Freshman,Forensic psych,Male,0,68.03176470588237,174.81,0.0,6.348,0:06:00,96.48,81.68,63.49,85.67,In state,1.0,,,1.0,5.0
152,44752,3/7/1993,4-Aug-2014,11-May-2020,Freshman,Physics,Female,0,71.1,150.07,0.0,8.897,0:13:35,85.36,90.18,60.03,85.15,In state,1.0,,,3.0,1.0
153,45420,3/1/1993,4-Aug-2014,11-May-2020,Freshman,comp sci,Male,1,69.77,230.59,0.0,4.62,,84.4,76.6,63.42,72.67,In state,1.0,,,,16.0
157,48591,1/22/1993,4-Aug-2014,11-May-2020,Freshman,geology,Male,1,69.09,198.92,0.0,4.695,0:06:27,67.77,77.46,59.51,79.52168316831683,In state,0.0,3.0,21.0,6.0,
160,20680,12/27/1992,4-Aug-2014,11-May-2020,Freshman,Unknown,Female,1,67.73,169.9,0.0,6.621,0:06:59,85.34,84.05,50.7,79.52168316831683,In state,1.0,,,6.0,2.0
161,22425,12/6/1992,4-Aug-2014,11-May-2020,Freshman,Criminology,Female,1,65.03,181.03156914893617,3.0,5.817,0:07:58,82.8,79.38,51.32,75.98,In state,0.0,3.0,28.0,6.0,4.0
164,34176,7/17/1992,4-Aug-2014,13-May-2019,Freshman,CS,Male,1,69.7,173.56,0.0,5.522,0:07:01,65.26,77.09,56.32,72.51,Out of state,1.0,,,4.0,5.0
165,41411,4/17/1992,4-Aug-2014,11-May-2020,Freshman,Fashion Merchandizing,Female,1,66.29,181.03156914893617,0.0,,0:07:55,86.76,74.05,48.78,91.14,Out of state,1.0,,,10.0,5.0
166,42540,4/4/1992,4-Aug-2014,13-May-2019,Freshman,Unknown,Female,1,65.3,153.17,0.0,5.36,0:07:41,75.06,79.5,59.1,76.46,Out of state,1.0,,,6.0,6.0
172,28642,9/22/1987,4-Aug-2014,11-May-2020,Freshman,Human Development and Family Studies,Female,0,65.45,150.12,0.0,,0:09:23,80.82,69.0,62.53,82.44,In state,,,,,10.0
174,47027,2/10/1987,4-Aug-2014,13-May-2019,Freshman,Unknown,Female,0,62.73,181.03156914893617,1.0,7.98,0:10:49,80.74,78.99,59.38,76.49,In state,1.0,,,3.0,11.0
176,20255,1/1/1996,5-Aug-2013,14-May-2018,Sophomore,double major english and communications,Female,0,65.75,181.03156914893617,0.0,7.684,0:11:57,80.46,81.22,46.3,72.24,Out of state,,3.0,26.0,,2.0
178,22494,12/5/1995,5-Aug-2013,14-May-2018,Sophomore,premed,Male,1,64.92,129.16,0.0,5.139,0:07:50,83.11,75.79,65.43,79.52168316831683,,,,,4.0,5.0
181,34623,7/10/1995,5-Aug-2013,14-May-2018,Sophomore,Unknown,Female,0,66.21,217.45,0.0,6.902,0:10:17,78.2,75.92,46.99,81.43,,0.0,3.0,35.0,7.0,8.0
182,35350,7/1/1995,5-Aug-2013,14-May-2018,Sophomore,Unknown,Female,0,56.36,126.47,0.0,7.57,0:10:03,87.33,67.42,53.17,87.05,Out of state,1.0,,,7.0,3.0
184,46265,2/20/1995,5-Aug-2013,14-May-2018,Sophomore,bio tech,Male,1,69.97,172.91,0.0,5.521,0:06:05,91.92,73.49,63.88,85.42,In state,0.0,,,8.0,
186,25034,11/4/1994,5-Aug-2013,14-May-2018,Sophomore,Secondary Education,Female,0,66.35,181.03156914893617,0.0,7.403,0:09:17,74.68,75.42,62.08,77.96,In state,1.0,,,5.0,3.0
187,25221,11/2/1994,5-Aug-2013,14-May-2018,Sophomore,World history,Male,1,67.31,206.56,0.0,5.02,0:05:49,73.12,87.62,63.49,69.56,In state,1.0,,,6.0,2.0
188,26961,10/11/1994,5-Aug-2013,13-May-2019,Sophomore,Unknown,Female,0,60.51,134.85,0.0,7.802,0:11:05,83.45,90.41,60.94,76.85,In state,0.0,3.0,18.0,5.0,4.0
191,28460,9/23/1994,5-Aug-2013,14-May-2018,Sophomore,Photography/Photo Illustration,Female,1,66.95,161.61,0.0,5.632,0:05:48,77.68,73.78,61.55,86.28,In state,1.0,,,4.0,3.0
192,28570,9/22/1994,5-Aug-2013,13-May-2019,Sophomore,Unknown,Male,0,67.93,136.96,2.0,,0:09:25,71.28,66.97,59.05,77.43,In state,1.0,,,9.0,
193,29313,9/13/1994,5-Aug-2013,14-May-2018,Sophomore,Fashion design,Male,1,65.56,162.63,1.0,5.153,0:07:24,86.47,85.19,64.45,79.36,In state,1.0,,,5.0,3.0
196,32437,8/6/1994,5-Aug-2013,13-May-2019,Sophomore,education - social studies,Female,0,62.28,128.98,0.0,6.476,0:08:35,74.59,72.61,63.64,78.86,,0.0,3.0,18.0,6.0,1.0
198,33117,7/28/1994,5-Aug-2013,13-May-2019,Sophomore,english literature,Female,1,63.27,122.85,0.0,5.303,0:07:17,87.75,81.48,62.87,80.16,In state,1.0,,,5.0,7.0
199,33377,7/25/1994,5-Aug-2013,13-May-2019,Sophomore,Unknown,Female,0,57.5,103.44,0.0,7.708,0:10:53,84.18,87.59,61.3,82.64,In state,1.0,,,8.0,3.0
200,33454,7/24/1994,5-Aug-2013,14-May-2018,Sophomore,Unknown,Female,0,76.3,228.36,2.0,7.586,0:12:53,82.78755501222494,76.12,64.49,85.19,In state,0.0,3.0,37.0,6.0,4.0
201,36104,6/23/1994,5-Aug-2013,13-May-2019,Sophomore,eudcation,Male,1,70.74,175.65,0.0,4.716,0:06:19,76.49,89.04,62.25,67.08,In state,0.0,3.0,26.0,1.0,10.0
202,36406,6/18/1994,5-Aug-2013,13-May-2019,Sophomore,Marketing & Graphic Design,Female,0,68.21,219.26,0.0,7.337,,82.46,98.48,60.56,78.51,In state,1.0,,,4.0,8.0
204,36693,6/14/1994,5-Aug-2013,13-May-2019,Sophomore,Accounting,Female,0,67.65,127.16,2.0,9.475,0:11:46,80.53,87.96,64.28,81.96,In state,1.0,,,5.0,5.0
210,41870,4/11/1994,5-Aug-2013,13-May-2019,Sophomore,I am currently exploring options,Female,0,55.0,101.71,0.0,7.433,0:10:08,86.23,89.19,61.2,88.91,Out of state,,3.0,24.0,9.0,3.0
217,49879,1/7/1994,5-Aug-2013,14-May-2018,Sophomore,exercise science,Male,1,72.09,217.25,0.0,5.46,0:06:27,72.8,73.18,53.71,72.41,Out of state,0.0,3.0,27.0,6.0,4.0
220,20903,12/25/1993,5-Aug-2013,13-May-2019,Sophomore,Unknown,Male,1,65.99,141.53,0.0,5.663,0:05:45,89.95,83.61,61.04,78.86,In state,0.0,3.0,23.0,,4.0
221,22742,12/2/1993,5-Aug-2013,14-May-2018,Sophomore,sports med,Female,0,74.47,181.03156914893617,0.0,7.499,0:11:33,84.14,68.46,47.42,85.33,,1.0,,,4.0,8.0
222,23731,11/20/1993,5-Aug-2013,13-May-2019,Sophomore,Theater,Male,1,72.69,209.32,0.0,5.554,0:06:26,87.83,84.06,63.32,72.53,In state,0.0,4.0,57.0,4.0,3.0
223,25714,10/27/1993,5-Aug-2013,14-May-2018,Sophomore,Unknown,Unkown,0,61.49,237.06,0.0,6.32,0:05:32,82.23,86.94,62.51,75.63,In state,,,,,6.0
224,28053,9/28/1993,5-Aug-2013,13-May-2019,Sophomore,math ed,Female,0,67.77,150.92,0.0,8.17,0:11:41,88.16,80.86,58.27,78.2,In state,1.0,,,7.0,3.0
